Provider Number,Facility Name,State,City,Zip Code,Region,Facility Category Code,Facility Category,Ownership Code,Ownership Type,Compliance Status Code,Compliance Status,Eligible,Acceptable Plan of Correction,Certification Date,Original Participation Date,Termination Date,Bed Count,Has Termination Date,Certification Year
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,36301,4,01,Hospital,08,Government - Local,B,Acceptable Plan of Correction,Y,N,2017-10-05,1966-07-01,,420,False,2017.0
010004,NORTH JACKSON HOSPITAL,AL,BRIDGEPORT,35740,4,01,Hospital,08,Government - Local,A,Acceptable,N,N,2001-03-16,1966-07-01,2001-08-31,64,True,2001.0
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,AL,BOAZ,35957,4,01,Hospital,08,Government - Local,A,Acceptable,Y,Y,2002-10-03,1966-07-01,,240,False,2002.0
010006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,35630,4,01,Hospital,04,Proprietary - Corporation,B,Acceptable Plan of Correction,Y,N,2019-04-11,1966-07-01,,338,False,2019.0
010007,MIZELL MEMORIAL HOSPITAL,AL,OPP,36467,4,01,Hospital,02,Voluntary Nonprofit - Other,B,Acceptable Plan of Correction,Y,N,2024-12-12,1966-07-01,,99,False,2024.0
010008,CRENSHAW COMMUNITY HOSPITAL,AL,LUVERNE,36049,4,01,Hospital,04,Proprietary - Corporation,B,Acceptable Plan of Correction,Y,Y,2020-01-30,1966-07-01,2025-02-11,65,True,2020.0
010009,HARTSELLE MEDICAL CENTER,AL,HARTSELLE,35640,4,01,Hospital,04,Proprietary - Corporation,A,Acceptable,Y,Y,1999-10-14,1969-06-30,2012-02-01,150,True,1999.0
010010,MARSHALL MEDICAL CENTER NORTH,AL,GUNTERSVILLE,35976,4,01,Hospital,08,Government - Local,A,Acceptable,Y,N,1994-12-21,1966-07-01,2011-10-01,90,True,1994.0
010011,ST VINCENT'S EAST,AL,BIRMINGHAM,35235,4,01,Hospital,02,Voluntary Nonprofit - Other,A,Acceptable,Y,N,2000-06-29,1969-08-27,,362,False,2000.0
010012,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,35968,4,01,Hospital,04,Proprietary - Corporation,B,Acceptable Plan of Correction,Y,N,2010-11-19,1966-07-01,,134,False,2010.0
010015,SOUTHWEST ALABAMA MEDICAL CENTER,AL,THOMASVILLE,36784,4,01,Hospital,04,Proprietary - Corporation,B,Acceptable Plan of Correction,Y,N,2011-04-28,1981-02-17,2011-08-16,49,True,2011.0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,ALABASTER,35007,4,01,Hospital,02,Voluntary Nonprofit - Other,B,Acceptable Plan of Correction,Y,N,2012-12-13,1966-07-01,,252,False,2012.0
010017,FAIRVIEW MEDICAL CTR,AL,MONTGOMERY,36108,4,01,Hospital,03,Proprietary - Individual,A,Acceptable,Y,N,1985-11-05,1972-04-05,1985-12-24,168,True,1985.0
