,id,label,latitude,longitude,updated_at,current_stop_sequence,speed,occupancy_status,direction_id,route_id,trip_id,bearing,stop_id,vehicle_status,last_modified
0,y1726,1726,42.372922,-71.11707,2025-11-13 21:59:35,24.0,,MANY_SEATS_AVAILABLE,0,1,71465941,298.0,,IN_TRANSIT_TO,2025-11-14 02:59:43
1,y1733,1733,42.329859,-71.0843,2025-11-11 20:33:54,24.0,,MANY_SEATS_AVAILABLE,1,1,71665154,168.0,,IN_TRANSIT_TO,2025-11-12 01:34:03
2,y1738,1738,42.32982,-71.084282,2025-11-12 21:36:24,24.0,,MANY_SEATS_AVAILABLE,1,1,71466242,141.0,,IN_TRANSIT_TO,2025-11-13 02:36:27
3,y1740,1740,42.329808,-71.084342,2025-11-12 21:18:04,24.0,,MANY_SEATS_AVAILABLE,1,1,71466240,154.0,,IN_TRANSIT_TO,2025-11-13 02:18:12
4,y1741,1741,42.359249,-71.093825,2025-11-14 15:11:40,10.0,,FEW_SEATS_AVAILABLE,1,1,71377813,150.0,,IN_TRANSIT_TO,2025-11-14 20:11:50
5,y1743,1743,42.329876,-71.08434,2025-11-14 11:08:37,24.0,,MANY_SEATS_AVAILABLE,1,1,71377808,129.0,,IN_TRANSIT_TO,2025-11-14 16:08:44
6,y1746,1746,42.373095,-71.117463,2025-11-11 19:21:14,24.0,,MANY_SEATS_AVAILABLE,0,1,71664847,292.0,,IN_TRANSIT_TO,2025-11-12 00:21:20
7,y1752,1752,42.329886,-71.084259,2025-11-14 11:30:25,24.0,,FEW_SEATS_AVAILABLE,1,1,71378752,199.0,,IN_TRANSIT_TO,2025-11-14 16:30:33
8,y1760,1760,42.329858,-71.084324,2025-11-14 14:33:40,24.0,,FEW_SEATS_AVAILABLE,1,1,71379863,173.0,,IN_TRANSIT_TO,2025-11-14 19:33:49
9,y1761,1761,42.329878,-71.084248,2025-11-13 21:36:19,24.0,,MANY_SEATS_AVAILABLE,1,1,71466240,104.0,,IN_TRANSIT_TO,2025-11-14 02:36:28
10,y1763,1763,42.329969,-71.084433,2025-11-13 01:41:29,24.0,,MANY_SEATS_AVAILABLE,1,1,71466256,187.0,,IN_TRANSIT_TO,2025-11-13 06:41:33
11,y1766,1766,42.372983,-71.117177,2025-11-13 19:02:11,24.0,,MANY_SEATS_AVAILABLE,0,1,71465929,292.0,,IN_TRANSIT_TO,2025-11-14 00:02:17
12,y1767,1767,42.329859,-71.08434,2025-11-13 14:41:10,24.0,,FEW_SEATS_AVAILABLE,1,1,71468272,136.0,,IN_TRANSIT_TO,2025-11-13 19:41:17
13,y1769,1769,42.35114,-71.0897,2025-11-13 15:04:55,,,FEW_SEATS_AVAILABLE,0,1,71468277,0.0,,IN_TRANSIT_TO,2025-11-13 20:05:13
14,y1771,1771,42.342428,-71.084351,2025-11-12 10:27:05,11.0,,MANY_SEATS_AVAILABLE,0,1,71468273,273.0,,STOPPED_AT,2025-11-12 15:27:13
15,y1773,1773,42.363,-71.09946,2025-11-12 02:07:13,17.0,,MANY_SEATS_AVAILABLE,0,1,71664886,315.0,,STOPPED_AT,2025-11-12 07:07:20
16,y1776,1776,42.329931,-71.084253,2025-11-14 10:20:17,24.0,,MANY_SEATS_AVAILABLE,1,1,71379831,125.0,,IN_TRANSIT_TO,2025-11-14 15:20:24
17,y1777,1777,42.329867,-71.084211,2025-11-13 23:07:56,24.0,,MANY_SEATS_AVAILABLE,1,1,71466248,117.0,,IN_TRANSIT_TO,2025-11-14 04:08:04
18,y1779,1779,42.372995,-71.117787,2025-11-13 02:10:01,24.0,,MANY_SEATS_AVAILABLE,0,1,71465965,289.0,,IN_TRANSIT_TO,2025-11-13 07:10:08
19,y1780,1780,42.329876,-71.084309,2025-11-12 23:34:33,24.0,,MANY_SEATS_AVAILABLE,1,1,71468324,147.0,,IN_TRANSIT_TO,2025-11-13 04:34:43
20,y1782,1782,42.330015,-71.084332,2025-11-13 19:01:25,24.0,,MANY_SEATS_AVAILABLE,1,1,71466231,206.0,,IN_TRANSIT_TO,2025-11-14 00:01:34
21,y1784,1784,42.341192,-71.057165,2025-11-14 01:29:25,21.0,,MANY_SEATS_AVAILABLE,1,1,71468321,180.0,,IN_TRANSIT_TO,2025-11-14 06:29:35
22,y1786,1786,42.329904,-71.084314,2025-11-13 01:13:05,24.0,,MANY_SEATS_AVAILABLE,1,1,71468320,154.0,,IN_TRANSIT_TO,2025-11-13 06:13:14
